Category,Ingredient (simplified name),Serving Qty,Serving Unit,Notes
Starch,Acorn squash,1,cup,
Starch,All Bran Flakes,0.5,cup,"15g carb, 80 cal"
Fat,Almond butter,1,tbsp,
Fat,Almonds,6,each,whole
Fruit,Apple,1,each,"small. 15g carb, 60 cal"
Fruit,Applesauce,0.5,cup,unsweetened
Fruit,Apricots,4,each,small
Vegetable,Arugula,2,cup,
Fat,Avocado,0.5,each,or guacamole
Starch,Bagel,0.25,each,wholegrain
Free,Balsamic Vinegar,,,
Fruit,Banana,1,each,extra small
Starch,Barley,0.33,cup,cooked
Fat,Basil Pesto,1,tsp,
Free,BBQ sauce,2,tsp,or chili sauce
Protein,Beans (other),0.5,cup,"cooked, drained. Count as 1 protein + 1 starch"
Protein,Beef,1,oz,"lean, tenderloin, sirloin, 95% ground, cooked. Lean meat (3g fat, 7g protein, 75 cal)"
Protein,Beef (brisket),2,oz,cooked
Protein,Beef (ground),1,oz,
Protein,Beef (patty),1,oz,"broiled, or ground 90% lean. Medium fat meat (5g fat, 7g protein)"
Protein,Beef (steak),1,oz,
Vegetable,Bell Peppers (cooked),0.5,cup,
Vegetable,Bell Peppers (raw),1,cup,
Protein,Bison,1.5,oz,"cooked, ground"
Protein,Black beans,0.5,cup,"cooked, drained. Count as 1 protein + 1 starch"
Fruit,Blueberries,0.75,cup,
Free,Blueberries,0.5,cup,fresh. <20 cal
Starch,Bread,1,each,wholegrain
Starch,Bread (reduced cal),2,each,"wholegrain reduced cal, 40 cal"
Vegetable,Broccoli,1,cup,
Free,Broth,,,"chicken/beef/veg, low sodium"
Starch,Bulgur wheat,0.5,cup,cooked
Fat,Butter,1,tsp,
Milk,Buttermilk,1,cup,low fat
Starch,Butternut squash,1,cup,
Vegetable,Cabbage,2,cup,
Free,Calabrian Chile Paste,1,tsp,
Protein,Canadian bacon,1,oz,or Turkey bacon
Protein,Cannellini Beans,0.5,cup,"cooked, drained. Count as 1 protein + 1 starch"
Fat,Canola oil,1,tsp,
Fruit,Cantaloupe,1,cup,"cubed, or honeydew"
Free,Capers,,,
Vegetable,Carrots,1,cup,
Protein,Catfish,1.5,oz,"cooked, or cod"
Vegetable,Cauliflower,1,cup,
Protein,Cheese,1,oz,"reduced fat, cheddar, feta, goat, etc."
Fruit,Cherries (canned),0.5,cup,canned
Fruit,Cherries (fresh),12,each,
Protein,Chicken,1,oz,"skinless, cooked, white/dark/ground"
Starch,Chickpea pasta,0.5,cup,cooked. Source of protein too
Protein,Chickpeas,0.5,cup,"cooked, drained. Count as 1 protein + 1 starch"
Free,Chipotle Chile Paste,1,tsp,
Fat,Cilantro Sauce,1,tbsp,
Protein,Clams,1,oz,"cooked, or scallops"
Fat,Coconut oil,1,tsp,
Free,Coffee,3,cup,black unsweetened
Vegetable,Collards,2,cup,
Starch,Cooked beans,0.5,cup,"canned/dry, or peas / lentils"
Vegetable,Cooked nonstarchy veg,0.5,cup,25 cal
Starch,Corn,0.5,cup,frozen cooked
Starch,Corn on the cob,0.5,each,cooked
Starch,Cornbread Mix,3,tbsp,
Protein,Cottage cheese,0.25,cup,reduced fat/fat free
Starch,Couscous,0.5,cup,wholegrain
Protein,Crab,2,oz,steamed
Starch,Crackers,5,each,wholegrain baked
Fat,Cream,1,tbsp,
Fat,Cream cheese,1,tbsp,
Fat,Crème Fraîche,1,tbsp,
Free,Crushed Red Pepper Flakes,,,
Vegetable,Cucumber,1,cup,
Fruit,Currants (dried),2,tbsp,
Fruit,Dates,1,oz,
Protein,Deli meat,1,oz,"lean, low sodium, uncured"
Starch,Delicata Squash,1,cup,
Free,Demi-Glace,1,tbsp,
Free,Dijon Mustard,1,tsp,
Fruit,Dried Apples,1,oz,"dried, no sugar"
Fruit,Dried Apricots,1,oz,dried
Protein,Duck,1,oz,"skinless, cooked"
Protein,Egg,1,each,fresh
Protein,Egg whites,4,oz,
Vegetable,Endive,2,cup,
Starch,English muffin (100 cal),1,each,100 cal
Starch,English muffin (reg),0.5,each,wholegrain
Starch,Farro,0.33,cup,cooked
Protein,Feta,1,oz,
Fruit,Figs (dried),1,oz,dried
Fruit,Figs (fresh),2,each,fresh
Fat,Flaxseed,1,tbsp,ground/whole
Fruit,Fruit salad,0.5,cup,canned unsweetened
Free,Garlic,,,
Free,Ginger,,,
Starch,Gnocchi,0.33,cup,
Milk,Goat cheese,1,oz,
Starch,Granola,0.25,cup,low fat
Fruit,Grapefruit (canned),0.5,cup,canned
Fruit,Grapefruit (raw),0.5,each,raw
Fruit,Grapes,17,each,
Milk,Grated Cotija Cheese,1,oz,
Milk,Grated Parmesan Cheese,1,oz,
Milk,Grated Romano Cheese,1,oz,
Fat,Greek Dressing --> Primal greek dressing,1,tbsp,
Starch,Grits,0.5,cup,cooked
Fat,Guacamole,0.25,cup,
Free,Guajillo Chile Pepper Sauce,1,tbsp,
Fruit,Guava,2,each,
Fat,Half & half,2,tbsp,
Starch,Hamburger bun,0.5,each,"wholegrain, or hotdog bun"
Protein,Hemp seeds,2,tbsp,
Free,Herbs & spices,,,
Starch,Honey,1,tsp,
Free,Hot Sauce,1,tsp,
Starch,Hotdog bun,0.5,each,
Protein,Hummus,2,tbsp,
Free,Italian Seasoning,,,
Vegetable,Kale,2,cup,
Free,Ketchup,1,tbsp,
Protein,Kidney Beans,0.5,cup,"cooked, drained. Count as 1 protein + 1 starch"
Fruit,Kiwi,1,each,large
Protein,Lamb,1,oz,"trimmed, roasted, broiled"
Free,Lemon,1,tbsp,
Free,Lemon Purée,,,
Vegetable,Lettuce,2,cup,romaine
Free,Lime,1,tbsp,
Protein,Lobster,2,oz,steamed
Protein,Lox,1,oz,
Fruit,Mango,0.75,cup,small
Fat,Mascarpone Cheese,1,tbsp,
Fat,Mayonnaise,1,tsp,
Free,Mexican Spice Blend,,,
Milk,Milk (1%),1,cup,1%
Milk,Milk (2%),1,cup,2% reduced fat
Milk,Milk (skim),1,cup,"fat free, skim. 12g carb, 8g protein, 90 cal"
Free,Mint,1,bunch,
Free,Mirepoix,2,tbsp,
Milk,Mozzarella Cheese,1,oz,
Free,Mushroom Stock Concentrate,,,
Vegetable,Mushrooms,1,cup,
Free,Mustard,1,tsp,prepared
Starch,Naan bread,0.5,each,
Fruit,Nectarine,1,each,small
Fat,Nut butter,1,tbsp,"almond, cashew, peanut, soy"
Starch,Oatmeal,0.5,cup,cooked
Starch,Oats,1/3,cup,uncooked
Fat,Olive oil,1,tsp,"5g fat, 45 cal"
Fat,Olives,10,each,
Vegetable,Onion (red),1,cup,
Vegetable,Onion (white),1,cup,
Vegetable,Onion (yellow),1,cup,
Fruit,Orange,1,each,small
Starch,Pancake,1,each,wholegrain
Starch,Panko Breadcrumbs,3,tbsp,
Fruit,Papaya,1,cup,cubed
Free,Parsley,1,bunch,
Starch,Parsnips,0.5,cup,cooked
Starch,Pasta,0.33,cup,"wholegrain, cooked"
Starch,Pasta (Orzo),0.33,cup,
Fruit,Peach (dried),1,oz,dried
Fruit,Peaches (canned),0.5,cup,canned
Fat,Peanut butter,1,tbsp,
Fruit,Pear (canned),0.5,cup,canned
Fruit,Pear (raw),0.5,each,large
Starch,Peas,0.5,cup,frozen cooked
Fat,Pecans,2,each,
Vegetable,Peppers,1,cup,green/red/yellow
Free,Pickled Jalapeños,2,tbsp,
Free,Pickles (dill),1,each,dill. Small / medium
Free,Pickles (sweet),1,each,sweet. Medium
Fat,Pine nuts,1,tbsp,
Fruit,Pineapple,0.5,cup,sliced
Protein,Pinto beans,0.5,cup,"cooked, drained. Count as 1 protein + 1 starch"
Starch,Pita bread,1,each,6-inch
Starch,Pita chips,0.5,oz,wholegrain
Starch,Plantain (cooked),0.33,cup,ripe cooked
Starch,Plantain (mashed),0.5,cup,mashed
Fruit,Plums,2,each,small
Vegetable,Poblano Peppers,0.5,cup,
Starch,Polenta,0.33,cup,cooked
Starch,Popcorn,3,each,plain
Protein,Pork (chorizo),1,oz,
Protein,Pork (cutlet),1,oz,cooked
Protein,Pork (ground),1,oz,"cooked, ground"
Protein,Pork (Hot Italian Sausage),1,oz,
Protein,Pork (loin),1.5,oz,"cooked, or tenderloin"
Protein,Pork (pulled),1,oz,
Starch,Potato (baked),1,each,baked
Starch,Potato (mashed),0.5,cup,mashed w/ milk
Starch,Potatoes (baby),4,oz,boiled
Starch,Potatoes (red),4,oz,
Starch,Potatoes (yellow),4,oz,
Starch,Potatoes (yukon),4,oz,
Protein,Prosciutto,1,oz,
Protein,Protein powder,1,scoop,or Collagen
Fruit,Prunes,3,each,
Fat,Pumpkin seeds,1,tbsp,
Starch,Quinoa,0.33,cup,cooked
Fruit,Raisins,1,oz,
Fat,Ranch Dressing,1,tbsp,
Fruit,Raspberries,1,cup,
Vegetable,Raw nonstarchy veg,1,cup,
Free,Red Harissa paste,1,tsp,
Starch,Red lentil pasta,0.5,cup,cooked. Source of protein too
Free,Red Wine Vinegar,,,
Free,Relish,1,tbsp,sweet pickle
Starch,Rice (white/brown),0.33,cup,"brown/black/basmati/jasmine, cooked"
Starch,Rice (wild),0.33,cup,"wild, cooked"
Starch,Rice cakes,2,each,
Protein,Ricotta cheese,0.25,cup,reduced fat or fat free
Free,Roasted red peppers,,,
Starch,Ryvita crisp bread,2,each,
Protein,Salmon,1.5,oz,cooked or canned solids
Free,Sauerkraut,2,tbsp,<20 cal
Vegetable,Scallions,0.5,cup,
Protein,Seitan,1.5,oz,
Fat,Sesame oil,1,tsp,
Vegetable,Shallot,0.5,cup,
Free,Sherry Vinegar,,,
Milk,Shredded Cheese,1,oz,
Starch,Shredded Wheat,0.5,cup,"plain, not frosted"
Protein,Shrimp,2,oz,cooked
Starch,Small Baguette,0.5,each,
Fat,Sour Cream,1,tbsp,
Free,Southern Spice Blend,,,
Milk,Soy milk,1,cup,unsweetened
Free,Soy sauce,1,tbsp,
Vegetable,Spaghetti squash,0.5,cup,cooked
Vegetable,Spinach ,2,cup,
Vegetable,Spinach (cooked),0.5,cup,cooked
Protein,Spirulina,1,tbsp,
Starch,Steel cut oats (cooked),0.25,cup,cooked
Starch,Steel cut oats (uncooked),0.125,cup,uncooked
Fruit,Strawberries,1,cup,sliced
Free,Strawberries,0.33,cup,raw sliced. <20 cal
Starch,Succotash,0.5,cup,frozen
Starch,Sugar,1,tsp,
Vegetable,Summer squash,0.5,cup,
Fat,Sunflower seeds,1,tbsp,
Free,Sweet & Smoky Spice Blend,,,
Starch,Sweet potato,0.5,cup,or Sweet potato
Free,Taco sauce,2,tsp,
Fat,Tahini,1,tbsp,
Fruit,Tangerine,1,cup,
Protein,Tempeh,0.25,cup,bean curd
Protein,Tofu,4,oz,firm
Vegetable,Tomato,1,cup,raw
Vegetable,Tomato (grape),1,cup,
Vegetable,Tomato juice,0.5,cup,
Free,Tomato Paste,2,tbsp,
Free,Tomato Sauce,0.25,cup,
Vegetable,Tomatoes (diced),8,oz,
Starch,Tortilla,1,each,or tortilla
Starch,Tortilla (corn),1,each,corn
Starch,Triscuits,4,each,original
Protein,Trout,1,oz,"cooked, or salmon"
Protein,Tuna (canned),2,oz,"canned in water/oil, drained"
Protein,Tuna (cooked),2,oz,"fresh, cooked"
Protein,Turkey,1.5,oz,"skinless, cooked, white/dark/ground 93–99% lean"
Protein,Turkey (ground),1,oz,
Vegetable,Turnip greens,0.5,cup,
Fat,Tzatiziki,0.25,cup,
Protein,Veal cutlet,1,oz,"lean, cooked"
Vegetable,Veg juice,0.5,cup,low sodium
Starch,Vegetables mixed,1,cup,"peas, corn, carrots"
Protein,Venison,2,oz,"cooked, ground"
Free,Vinegar,1,tbsp,
Starch,Waffle,1,each,wholegrain
Fat,Walnuts,2,each,
Starch,Wasa crisp bread,2,each,any
Vegetable,Watercress,2,cup,
Fruit,Watermelon,1,cup,cubed
Free,Weeknight Hero Spice Blend,,,
Fat,Whipped cream,2,tbsp,
Protein,White fish,1.5,oz,"cooked, tilapia, flounder"
Free,Whole Dried Oregano,,,
Starch,Winter squash,1,cup,"butternut, acorn"
Free,Worcestershire Sauce,,,
Milk,Yogurt (low fat),6,oz,low fat
Milk,"Yogurt (nonfat, plain)",6,oz,"nonfat, plain"
Free,Za'atar seasoning,,,
Vegetable,Zucchini,1,cup,